train_corpus;test_corpus;features;true_index;pred_index;count;norm_value
mysMEEI;mysMEEI;acoustic;0;0;28.05;0.7791666666666667
mysMEEI;mysMEEI;acoustic;0;1;7.95;0.22083333333333308
mysMEEI;mysMEEI;acoustic;1;0;7.0;0.125
mysMEEI;mysMEEI;acoustic;1;1;49.0;0.875
mysMEEI;mysMEEI;acoustic_balanced_weights;0;0;29.96;0.8322222222222222
mysMEEI;mysMEEI;acoustic_balanced_weights;0;1;6.04;0.16777777777777772
mysMEEI;mysMEEI;acoustic_balanced_weights;1;0;8.11;0.14482142857142855
mysMEEI;mysMEEI;acoustic_balanced_weights;1;1;47.89;0.8551785714285713
mysMEEI;mysMEEI;spectral_paper;0;0;29.62;0.8227777777777783
mysMEEI;mysMEEI;spectral_paper;0;1;6.38;0.17722222222222217
mysMEEI;mysMEEI;spectral_paper;1;0;4.85;0.08660714285714284
mysMEEI;mysMEEI;spectral_paper;1;1;51.15;0.9133928571428579
mysMEEI;mysMEEI;combined_paper;0;0;32.9;0.9138888888888879
mysMEEI;mysMEEI;combined_paper;0;1;3.1;0.08611111111111097
mysMEEI;mysMEEI;combined_paper;1;0;3.95;0.07053571428571423
mysMEEI;mysMEEI;combined_paper;1;1;52.05;0.9294642857142865
mysMEEI;mysMEEI;spectral_02;0;0;29.28;0.813333333333334
mysMEEI;mysMEEI;spectral_02;0;1;6.72;0.18666666666666662
mysMEEI;mysMEEI;spectral_02;1;0;5.91;0.10553571428571429
mysMEEI;mysMEEI;spectral_02;1;1;50.09;0.8944642857142857
mysMEEI;mysMEEI;combined_02;0;0;31.73;0.8813888888888887
mysMEEI;mysMEEI;combined_02;0;1;4.27;0.11861111111111108
mysMEEI;mysMEEI;combined_02;1;0;4.74;0.08464285714285712
mysMEEI;mysMEEI;combined_02;1;1;51.26;0.9153571428571441
mysMEEI;mysMEEI;sep_02_raw;0;0;31.45;0.873611111111111
mysMEEI;mysMEEI;sep_02_raw;0;1;4.55;0.12638888888888888
mysMEEI;mysMEEI;sep_02_raw;1;0;3.05;0.054464285714285715
mysMEEI;mysMEEI;sep_02_raw;1;1;52.95;0.9455357142857133
mysMEEI;mysMEEI;sep_02_a01;0;0;32.89;0.9136111111111106
mysMEEI;mysMEEI;sep_02_a01;0;1;3.11;0.08638888888888879
mysMEEI;mysMEEI;sep_02_a01;1;0;4.23;0.07553571428571428
mysMEEI;mysMEEI;sep_02_a01;1;1;51.77;0.924464285714287
mysMEEI;mysMEEI;sep_02_a02;0;0;32.3;0.8972222222222221
mysMEEI;mysMEEI;sep_02_a02;0;1;3.7;0.10277777777777775
mysMEEI;mysMEEI;sep_02_a02;1;0;4.12;0.07357142857142854
mysMEEI;mysMEEI;sep_02_a02;1;1;51.88;0.9264285714285727
mysMEEI;mysMEEI;spectral_03;0;0;31.43;0.8730555555555556
mysMEEI;mysMEEI;spectral_03;0;1;4.57;0.12694444444444447
mysMEEI;mysMEEI;spectral_03;1;0;5.76;0.10285714285714283
mysMEEI;mysMEEI;spectral_03;1;1;50.24;0.8971428571428574
mysMEEI;mysMEEI;combined_03;0;0;33.59;0.933055555555555
mysMEEI;mysMEEI;combined_03;0;1;2.41;0.06694444444444433
mysMEEI;mysMEEI;combined_03;1;0;3.57;0.06375000000000001
mysMEEI;mysMEEI;combined_03;1;1;52.43;0.9362499999999997
mysMEEI;mysMEEI;sep_03_raw;0;0;31.55;0.8763888888888891
mysMEEI;mysMEEI;sep_03_raw;0;1;4.45;0.12361111111111114
mysMEEI;mysMEEI;sep_03_raw;1;0;3.24;0.05785714285714285
mysMEEI;mysMEEI;sep_03_raw;1;1;52.76;0.9421428571428564
mysMEEI;mysMEEI;sep_03_a01;0;0;32.84;0.9122222222222218
mysMEEI;mysMEEI;sep_03_a01;0;1;3.16;0.08777777777777769
mysMEEI;mysMEEI;sep_03_a01;1;0;4.39;0.07839285714285714
mysMEEI;mysMEEI;sep_03_a01;1;1;51.61;0.921607142857144
mysMEEI;mysMEEI;sep_03_a02;0;0;33.43;0.9286111111111107
mysMEEI;mysMEEI;sep_03_a02;0;1;2.57;0.07138888888888877
mysMEEI;mysMEEI;sep_03_a02;1;0;4.19;0.07482142857142855
mysMEEI;mysMEEI;sep_03_a02;1;1;51.81;0.9251785714285724
mysMEEI;mysMEEI;spectral_04;0;0;31.29;0.8691666666666665
mysMEEI;mysMEEI;spectral_04;0;1;4.71;0.13083333333333333
mysMEEI;mysMEEI;spectral_04;1;0;4.56;0.08142857142857145
mysMEEI;mysMEEI;spectral_04;1;1;51.44;0.9185714285714295
mysMEEI;mysMEEI;combined_04;0;0;33.02;0.9172222222222223
mysMEEI;mysMEEI;combined_04;0;1;2.98;0.08277777777777767
mysMEEI;mysMEEI;combined_04;1;0;4.54;0.0810714285714286
mysMEEI;mysMEEI;combined_04;1;1;51.46;0.9189285714285728
mysMEEI;mysMEEI;sep_04_raw;0;0;30.89;0.8580555555555561
mysMEEI;mysMEEI;sep_04_raw;0;1;5.11;0.14194444444444448
mysMEEI;mysMEEI;sep_04_raw;1;0;3.54;0.06321428571428574
mysMEEI;mysMEEI;sep_04_raw;1;1;52.46;0.9367857142857141
mysMEEI;mysMEEI;sep_04_a01;0;0;32.25;0.895833333333333
mysMEEI;mysMEEI;sep_04_a01;0;1;3.75;0.10416666666666663
mysMEEI;mysMEEI;sep_04_a01;1;0;4.43;0.07910714285714286
mysMEEI;mysMEEI;sep_04_a01;1;1;51.57;0.9208928571428582
mysMEEI;mysMEEI;sep_04_a02;0;0;31.67;0.8797222222222219
mysMEEI;mysMEEI;sep_04_a02;0;1;4.33;0.12027777777777776
mysMEEI;mysMEEI;sep_04_a02;1;0;4.27;0.07625
mysMEEI;mysMEEI;sep_04_a02;1;1;51.73;0.9237500000000012
mysMEEI;mysMEEI;spectral_05;0;0;31.43;0.8730555555555551
mysMEEI;mysMEEI;spectral_05;0;1;4.57;0.1269444444444444
mysMEEI;mysMEEI;spectral_05;1;0;4.96;0.08857142857142858
mysMEEI;mysMEEI;spectral_05;1;1;51.04;0.9114285714285724
mysMEEI;mysMEEI;combined_05;0;0;32.18;0.8938888888888883
mysMEEI;mysMEEI;combined_05;0;1;3.82;0.10611111111111103
mysMEEI;mysMEEI;combined_05;1;0;4.68;0.08357142857142856
mysMEEI;mysMEEI;combined_05;1;1;51.32;0.9164285714285724
mysMEEI;mysMEEI;sep_05_raw;0;0;30.52;0.8477777777777783
mysMEEI;mysMEEI;sep_05_raw;0;1;5.48;0.1522222222222222
mysMEEI;mysMEEI;sep_05_raw;1;0;3.65;0.06517857142857139
mysMEEI;mysMEEI;sep_05_raw;1;1;52.35;0.9348214285714286
mysMEEI;mysMEEI;sep_05_a01;0;0;31.95;0.8874999999999996
mysMEEI;mysMEEI;sep_05_a01;0;1;4.05;0.11249999999999995
mysMEEI;mysMEEI;sep_05_a01;1;0;4.78;0.08535714285714285
mysMEEI;mysMEEI;sep_05_a01;1;1;51.22;0.9146428571428583
mysMEEI;mysMEEI;sep_05_a02;0;0;31.54;0.8761111111111108
mysMEEI;mysMEEI;sep_05_a02;0;1;4.46;0.12388888888888885
mysMEEI;mysMEEI;sep_05_a02;1;0;4.64;0.08285714285714285
mysMEEI;mysMEEI;sep_05_a02;1;1;51.36;0.9171428571428584
mysMEEI;mysMEEI;spectral_06;0;0;29.72;0.825555555555556
mysMEEI;mysMEEI;spectral_06;0;1;6.28;0.17444444444444443
mysMEEI;mysMEEI;spectral_06;1;0;4.8;0.08571428571428573
mysMEEI;mysMEEI;spectral_06;1;1;51.2;0.9142857142857155
mysMEEI;mysMEEI;combined_06;0;0;30.98;0.8605555555555562
mysMEEI;mysMEEI;combined_06;0;1;5.02;0.1394444444444445
mysMEEI;mysMEEI;combined_06;1;0;4.59;0.0819642857142857
mysMEEI;mysMEEI;combined_06;1;1;51.41;0.9180357142857152
mysMEEI;mysMEEI;sep_06_raw;0;0;30.16;0.837777777777778
mysMEEI;mysMEEI;sep_06_raw;0;1;5.84;0.16222222222222216
mysMEEI;mysMEEI;sep_06_raw;1;0;3.72;0.06642857142857145
mysMEEI;mysMEEI;sep_06_raw;1;1;52.28;0.933571428571429
mysMEEI;mysMEEI;sep_06_a01;0;0;31.11;0.864166666666667
mysMEEI;mysMEEI;sep_06_a01;0;1;4.89;0.1358333333333334
mysMEEI;mysMEEI;sep_06_a01;1;0;4.39;0.07839285714285714
mysMEEI;mysMEEI;sep_06_a01;1;1;51.61;0.921607142857144
