train_corpus;test_corpus;features;metric;value;std
mysMEEI;mysMEEI;acoustic;accuracy;0.8374999999999999;0.008188325637673561
mysMEEI;mysMEEI;acoustic;precision;0.860554583952043;0.011395320247179753
mysMEEI;mysMEEI;acoustic;recall;0.875;0.0
mysMEEI;mysMEEI;acoustic;f1;0.8676791626279282;0.005789692867562973
mysMEEI;mysMEEI;acoustic;auc;0.8777728174603173;0.006399038309555825
mysMEEI;mysMEEI;acoustic_balanced_weights;accuracy;0.8461956521739127;0.011744664557051261
mysMEEI;mysMEEI;acoustic_balanced_weights;precision;0.888048143433826;0.00911238376911486
mysMEEI;mysMEEI;acoustic_balanced_weights;recall;0.8551785714285713;0.016149611418841997
mysMEEI;mysMEEI;acoustic_balanced_weights;f1;0.8712258068401;0.010506299290574424
mysMEEI;mysMEEI;acoustic_balanced_weights;auc;0.8705208333333333;0.008096859458216173
mysMEEI;mysMEEI;spectral_paper;accuracy;0.8779347826086955;0.011892615776981256
mysMEEI;mysMEEI;spectral_paper;precision;0.8892990656444698;0.013311825235223396
mysMEEI;mysMEEI;spectral_paper;recall;0.9133928571428572;0.013452249261892292
mysMEEI;mysMEEI;spectral_paper;f1;0.9010864066647809;0.009566116354236757
mysMEEI;mysMEEI;spectral_paper;auc;0.9333333333333335;0.009209374075455828
mysMEEI;mysMEEI;combined_paper;accuracy;0.9233695652173914;0.011944163573823888
mysMEEI;mysMEEI;combined_paper;precision;0.944175462322228;0.018842621581873147
mysMEEI;mysMEEI;combined_paper;recall;0.9294642857142859;0.004639421805988051
mysMEEI;mysMEEI;combined_paper;f1;0.9366578593419526;0.009291922386251959
mysMEEI;mysMEEI;combined_paper;auc;0.9618601190476188;0.004221748890963285
mysMEEI;mysMEEI;spectral_02;accuracy;0.862717391304348;0.01534534713321732
mysMEEI;mysMEEI;spectral_02;precision;0.8820078238868564;0.017273444989302614
mysMEEI;mysMEEI;spectral_02;recall;0.8944642857142858;0.015381003059034896
mysMEEI;mysMEEI;spectral_02;f1;0.8880614843048918;0.012297517427931238
mysMEEI;mysMEEI;spectral_02;auc;0.9382192460317459;0.00871587909318572
mysMEEI;mysMEEI;combined_02;accuracy;0.9020652173913045;0.014863509445735829
mysMEEI;mysMEEI;combined_02;precision;0.9234808206336819;0.019376542840028863
mysMEEI;mysMEEI;combined_02;recall;0.9153571428571431;0.01227345734102828
mysMEEI;mysMEEI;combined_02;f1;0.9192718061175692;0.011888478523129756
mysMEEI;mysMEEI;combined_02;auc;0.9510863095238097;0.0070631489433114775
mysMEEI;mysMEEI;sep_02_raw;accuracy;0.9173913043478262;0.006874516652539969
mysMEEI;mysMEEI;sep_02_raw;precision;0.9209562608303341;0.009190495029603018
mysMEEI;mysMEEI;sep_02_raw;recall;0.9455357142857141;0.0038918740567327305
mysMEEI;mysMEEI;sep_02_raw;f1;0.9330595252560027;0.005322171175879482
mysMEEI;mysMEEI;sep_02_raw;auc;0.9602331349206348;0.006181540772834536
mysMEEI;mysMEEI;sep_02_a01;accuracy;0.9202173913043481;0.01202745755967224
mysMEEI;mysMEEI;sep_02_a01;precision;0.9436340955836985;0.01684365314925573
mysMEEI;mysMEEI;sep_02_a01;recall;0.9244642857142861;0.010055648732357928
mysMEEI;mysMEEI;sep_02_a01;f1;0.9338473298392311;0.009632893011798933
mysMEEI;mysMEEI;sep_02_a01;auc;0.9660912698412697;0.004211610403931905
mysMEEI;mysMEEI;sep_02_a02;accuracy;0.9150000000000001;0.011745167529774007
mysMEEI;mysMEEI;sep_02_a02;precision;0.9336842665315853;0.0159058532145203
mysMEEI;mysMEEI;sep_02_a02;recall;0.9264285714285717;0.008096988606253318
mysMEEI;mysMEEI;sep_02_a02;f1;0.9299649405045807;0.009289756981876925
mysMEEI;mysMEEI;sep_02_a02;auc;0.959330357142857;0.006074108739666462
mysMEEI;mysMEEI;spectral_03;accuracy;0.8877173913043479;0.01641664227749683
mysMEEI;mysMEEI;spectral_03;precision;0.9170053807554591;0.01969620382320267
mysMEEI;mysMEEI;spectral_03;recall;0.8971428571428571;0.015795245991068553
mysMEEI;mysMEEI;spectral_03;f1;0.9068100119474707;0.013326679677194432
mysMEEI;mysMEEI;spectral_03;auc;0.9540426587301586;0.007086616872108371
mysMEEI;mysMEEI;combined_03;accuracy;0.935;0.011905027452254847
mysMEEI;mysMEEI;combined_03;precision;0.9562324698546151;0.013416502209918343
mysMEEI;mysMEEI;combined_03;recall;0.93625;0.013184087115201564
mysMEEI;mysMEEI;combined_03;f1;0.9460486147227501;0.009852131141589485
mysMEEI;mysMEEI;combined_03;auc;0.9703174603174604;0.004798819384547892
mysMEEI;mysMEEI;sep_03_raw;accuracy;0.9164130434782609;0.00851649683476041
mysMEEI;mysMEEI;sep_03_raw;precision;0.922332478059023;0.010607315330459739
mysMEEI;mysMEEI;sep_03_raw;recall;0.942142857142857;0.007626484465736625
mysMEEI;mysMEEI;sep_03_raw;f1;0.9320890457779796;0.0067674394352710875
mysMEEI;mysMEEI;sep_03_raw;auc;0.9603422619047618;0.0057125006684738515
mysMEEI;mysMEEI;sep_03_a01;accuracy;0.9179347826086959;0.011124722549162367
mysMEEI;mysMEEI;sep_03_a01;precision;0.9424762215644316;0.013065707826301938
mysMEEI;mysMEEI;sep_03_a01;recall;0.9216071428571433;0.012344698523360268
mysMEEI;mysMEEI;sep_03_a01;f1;0.9318428242196268;0.00919565718994747
mysMEEI;mysMEEI;sep_03_a01;auc;0.9656795634920634;0.00513468095092704
mysMEEI;mysMEEI;sep_03_a02;accuracy;0.926521739130435;0.012212671221902744
mysMEEI;mysMEEI;sep_03_a02;precision;0.9528869754229735;0.013127908469788008
mysMEEI;mysMEEI;sep_03_a02;recall;0.9251785714285716;0.013047939472951117
mysMEEI;mysMEEI;sep_03_a02;f1;0.9387546399418;0.010138480151643883
mysMEEI;mysMEEI;sep_03_a02;auc;0.9602232142857143;0.006221074647551505
mysMEEI;mysMEEI;spectral_04;accuracy;0.899239130434783;0.01138505885875832
mysMEEI;mysMEEI;spectral_04;precision;0.9162871461680254;0.012600836276368687
mysMEEI;mysMEEI;spectral_04;recall;0.9185714285714289;0.013439205515876275
mysMEEI;mysMEEI;spectral_04;f1;0.9173378022006747;0.009323710190488464
mysMEEI;mysMEEI;spectral_04;auc;0.9480009920634922;0.009575097259060663
mysMEEI;mysMEEI;combined_04;accuracy;0.9182608695652175;0.00876062681722171
mysMEEI;mysMEEI;combined_04;precision;0.945462114014326;0.012457187495114343
mysMEEI;mysMEEI;combined_04;recall;0.9189285714285716;0.010838564932495381
mysMEEI;mysMEEI;combined_04;f1;0.9319162019103829;0.007176806964607499
mysMEEI;mysMEEI;combined_04;auc;0.970813492063492;0.004463028923622544
mysMEEI;mysMEEI;sep_04_raw;accuracy;0.9059782608695655;0.011744664557051252
mysMEEI;mysMEEI;sep_04_raw;precision;0.9114717633971223;0.014646344243797202
mysMEEI;mysMEEI;sep_04_raw;recall;0.9367857142857143;0.010838564932495348
mysMEEI;mysMEEI;sep_04_raw;f1;0.9238657364364415;0.009250913015551783
mysMEEI;mysMEEI;sep_04_raw;auc;0.9609275793650792;0.005132840541098576
mysMEEI;mysMEEI;sep_04_a01;accuracy;0.9110869565217393;0.01325730529433854
mysMEEI;mysMEEI;sep_04_a01;precision;0.9324728043336062;0.016442286163880753
mysMEEI;mysMEEI;sep_04_a01;recall;0.9208928571428575;0.011365619029263984
mysMEEI;mysMEEI;sep_04_a01;f1;0.9265546090093122;0.010646288812549231
mysMEEI;mysMEEI;sep_04_a01;auc;0.9622271825396822;0.005842813923522684
mysMEEI;mysMEEI;sep_04_a02;accuracy;0.906521739130435;0.014337941258992301
mysMEEI;mysMEEI;sep_04_a02;precision;0.9231550032300734;0.019192583430131825
mysMEEI;mysMEEI;sep_04_a02;recall;0.9237500000000003;0.0112528341101344
